,PIT,CLE
Points,,
First Downs,15,11
Rush Att,24,25
Rush Yds,131,78
Rush TDs,0,0
Pass Comp,21,17
Pass Att,39,23
Pass Yds,168,186
Pass TD,0,1
Pass INT,0,2
Sacks Taken,2,2
Sacked Yards,8,2
Net Pass Yards,160,184
Total Yards,291,262
Fumbles,3,0
Fumbles Lost,0,0
Turnovers,0,2
Penalties,4,6
Penalty Yds,34,45
3D Conv,3,4
3D Conv Yards,15,11
4D Conv,0,0
4D Conv Yards,3,1
Time of Possession,30:39,29:21
