,CAR,GNB
Points,,
First Downs,19,20
Rush Att,33,25
Rush Yds,163,104
Rush TDs,2,1
Pass Comp,11,26
Pass Att,20,37
Pass Yds,102,273
Pass TD,0,0
Pass INT,1,1
Sacks Taken,1,1
Sacked Yards,0,8
Net Pass Yards,102,265
Total Yards,265,369
Fumbles,1,1
Fumbles Lost,0,1
Turnovers,1,2
Penalties,5,7
Penalty Yds,39,42
3D Conv,4,7
3D Conv Yards,10,13
4D Conv,2,2
4D Conv Yards,2,3
Time of Possession,29:50,30:10
