Unnamed: 0,week_1,week_2,week_3,week_4,week_5,week_6
Points,10,19,15,26,26,51
First Downs,11,20,20,14,28,31
Rush Att,20,21,25,15,39,35
Rush Yds,58,68,172,88,139,277
Rush TDs,1,0,2,0,2,2
Pass Comp,13,28,29,21,28,24
Pass Att,31,42,38,35,39,36
Pass Yds,161,299,311,238,331,325
Pass TD,0,1,0,0,0,4
Pass INT,2,2,1,1,1,3
Sacks Taken,4,3,4,1,2,1
Sacked Yards,26,14,23,11,10,8
Net Pass Yards,135,285,288,227,321,317
Total Yards,193,353,460,315,460,594
Fumbles,1,1,2,1,1,1
Fumbles Lost,1,0,1,0,0,0
Turnovers,3,2,2,1,1,3
Penalties,6,4,7,9,6,12
Penalty Yds,80,26,45,76,55,86
3D Conv,1,6,6,4,6,6
3D Conv Yards,10,13,14,11,14,10
4D Conv,1,1,1,0,1,0
4D Conv Yards,3,3,3,0,1,0
Time of Possession,23:21,29:29,32:15,24:18,39:56,34:02
