Unnamed: 0,week_1,week_2,week_3,week_4,week_5,week_6
Points,20,25,17,10,13,bye
First Downs,25,18,19,12,14,bye
Rush Att,32,22,25,24,15,bye
Rush Yds,185,74,82,55,46,bye
Rush TDs,1,0,1,0,0,bye
Pass Comp,26,23,20,16,20,bye
Pass Att,41,36,29,27,35,bye
Pass Yds,273,258,230,179,182,bye
Pass TD,1,2,1,1,2,bye
Pass INT,0,0,1,0,1,bye
Sacks Taken,1,3,2,2,1,bye
Sacked Yards,6,12,1,10,8,bye
Net Pass Yards,267,246,229,169,174,bye
Total Yards,452,320,311,224,220,bye
Fumbles,1,3,2,2,0,bye
Fumbles Lost,1,1,0,0,0,bye
Turnovers,1,1,1,0,1,bye
Penalties,7,8,6,9,5,bye
Penalty Yds,64,79,44,51,70,bye
3D Conv,7,4,2,4,4,bye
3D Conv Yards,14,13,9,13,10,bye
4D Conv,1,2,1,0,0,bye
4D Conv Yards,2,2,3,1,2,bye
Time of Possession,33:43,31:29,25:03,30:52,20:04,bye
