Unnamed: 0,week_1,week_2,week_3,week_4,week_5,week_6
Points,17,19,21,18,10,16
First Downs,16,15,15,21,14,17
Rush Att,26,22,33,26,19,20
Rush Yds,140,75,150,119,120,68
Rush TDs,1,0,3,1,1,0
Pass Comp,19,23,10,20,22,24
Pass Att,32,36,20,29,35,36
Pass Yds,127,260,167,224,194,240
Pass TD,1,1,0,0,0,2
Pass INT,2,0,2,1,1,1
Sacks Taken,3,3,1,3,4,4
Sacked Yards,23,25,11,21,22,30
Net Pass Yards,104,235,156,203,172,210
Total Yards,244,310,306,322,292,278
Fumbles,1,1,0,1,4,2
Fumbles Lost,1,1,0,1,2,1
Turnovers,3,1,2,2,3,2
Penalties,8,12,9,6,4,8
Penalty Yds,50,115,78,44,18,43
3D Conv,3,4,3,5,3,7
3D Conv Yards,14,14,12,11,12,15
4D Conv,1,1,0,0,1,2
4D Conv Yards,2,1,1,0,3,2
Time of Possession,34:54,28:47,24:59,31:02,26:12,29:20
