Unnamed: 0,week_1,week_2,week_3,week_4,week_5,week_6
Points,26,13,7,9,18,23
First Downs,19,16,17,16,20,22
Rush Att,33,36,16,23,25,38
Rush Yds,146,141,91,64,115,128
Rush TDs,2,0,0,0,1,1
Pass Comp,18,13,25,24,22,21
Pass Att,25,20,33,42,37,34
Pass Yds,171,117,163,225,231,237
Pass TD,1,1,1,0,1,1
Pass INT,1,0,1,0,3,0
Sacks Taken,2,2,7,5,3,3
Sacked Yards,13,7,31,41,16,15
Net Pass Yards,158,110,132,184,215,222
Total Yards,304,251,223,248,330,350
Fumbles,1,1,1,1,0,1
Fumbles Lost,1,0,1,1,0,0
Turnovers,2,0,2,1,3,0
Penalties,6,10,5,13,11,3
Penalty Yds,41,78,19,90,79,20
3D Conv,4,4,3,4,7,11
3D Conv Yards,12,13,11,17,15,18
4D Conv,0,0,0,0,0,0
4D Conv Yards,0,0,2,1,1,0
Time of Possession,28:46,32:19,27:52,31:44,31:23,37:23
