,ARI,HOU
Points,,
First Downs,22,23
Rush Att,21,33
Rush Yds,72,143
Rush TDs,0,0
Pass Comp,27,22
Pass Att,40,29
Pass Yds,249,260
Pass TD,3,3
Pass INT,1,0
Sacks Taken,2,1
Sacked Yards,14,4
Net Pass Yards,235,256
Total Yards,307,399
Fumbles,1,1
Fumbles Lost,1,0
Turnovers,2,0
Penalties,2,5
Penalty Yds,34,40
3D Conv,5,7
3D Conv Yards,12,13
4D Conv,1,0
4D Conv Yards,3,0
Time of Possession,27:42,32:18
