,DET,LAR
Points,,
First Downs,21,30
Rush Att,20,29
Rush Yds,70,159
Rush TDs,1,3
Pass Comp,25,24
Pass Att,41,38
Pass Yds,338,368
Pass TD,3,2
Pass INT,0,1
Sacks Taken,1,2
Sacked Yards,12,8
Net Pass Yards,326,360
Total Yards,396,519
Fumbles,0,1
Fumbles Lost,0,0
Turnovers,0,1
Penalties,4,2
Penalty Yds,25,8
3D Conv,5,2
3D Conv Yards,14,9
4D Conv,2,3
4D Conv Yards,2,3
Time of Possession,26:25,33:35
