,WAS,NYG
Points,,
First Downs,19,22
Rush Att,37,29
Rush Yds,145,146
Rush TDs,1,1
Pass Comp,10,20
Pass Att,19,37
Pass Yds,211,246
Pass TD,1,2
Pass INT,0,1
Sacks Taken,2,1
Sacked Yards,16,8
Net Pass Yards,195,238
Total Yards,340,384
Fumbles,4,1
Fumbles Lost,2,0
Turnovers,2,1
Penalties,11,6
Penalty Yds,67,62
3D Conv,3,2
3D Conv Yards,11,12
4D Conv,0,2
4D Conv Yards,0,4
Time of Possession,30:48,29:12
