,LAC,JAX
Points,,
First Downs,8,30
Rush Att,16,47
Rush Yds,42,192
Rush TDs,0,4
Pass Comp,13,14
Pass Att,26,22
Pass Yds,118,153
Pass TD,0,1
Pass INT,1,1
Sacks Taken,3,0
Sacked Yards,25,0
Net Pass Yards,93,153
Total Yards,135,345
Fumbles,0,0
Fumbles Lost,0,0
Turnovers,1,1
Penalties,5,1
Penalty Yds,71,5
3D Conv,3,5
3D Conv Yards,12,10
4D Conv,1,3
4D Conv Yards,3,5
Time of Possession,22:05,37:55
