,DET,PHI
Points,,
First Downs,13,16
Rush Att,21,40
Rush Yds,74,148
Rush TDs,0,1
Pass Comp,14,14
Pass Att,37,28
Pass Yds,255,135
Pass TD,1,0
Pass INT,1,0
Sacks Taken,2,1
Sacked Yards,12,11
Net Pass Yards,243,124
Total Yards,317,272
Fumbles,0,2
Fumbles Lost,0,0
Turnovers,1,0
Penalties,5,9
Penalty Yds,48,78
3D Conv,3,4
3D Conv Yards,13,15
4D Conv,0,0
4D Conv Yards,5,1
Time of Possession,24:12,35:48
