File,CircHead,CircNeck,CircChest,CircWaist,CircHips,CircBicepLeft,CircBicepRight,CircForearmLeft,CircForearmRight,CircThighLeft,CircThighRight,CircCalfLeft,CircCalfRight,CircFootLeft,CircFootRight,LenHead,LenNeck,LenTorso,LenHipdrop,LenUpperlegLeft,LenUpperlegRight,LenLowerlegLeft,LenLowerlegRight,LenFootLeft,LenFootRight,WidthShoulder,WidthHips,WidthFootLeft,WidthFootRight,LengthUpperArmLeft,LengthUpperArmRight,LengthLowerArmLeft,LengthLowerArmRight
SHAPE_1_HIGH_blended.obj,0.5942562802051595,0.43603823502403594,1.3673224812604474,1.3191693858429787,1.480738093703342,0.41038592900971715,0.4111146295013062,0.28217602522853585,0.30245126918880455,0.6158364539161377,0.6289948614074815,0.43093031634111806,0.4260242542850443,0.24898837719796063,0.25080989030564066,0.20632499255361675,0.08220131910285873,0.46822767479587313,0.19748297004868545,0.4753845287504107,0.494209670756249,0.42546269009896737,0.40143399314208555,0.2417329769311585,0.25033272559935105,0.4303769059440806,0.475830041591533,0.10221377074054161,0.09237448363049183,0.2737078797075452,0.27467771184608336,0.22608195236683534,0.2545805476936524
SHAPE_1_LOW_blended.obj,0.5572405702408879,0.29305742129379264,0.7676033586417014,0.6662759478372299,0.8390954800858259,0.20927266984486928,0.21106564092355198,0.18643781434045564,0.19930573608220636,0.3995231372268558,0.40836446275584437,0.3103230521549834,0.30679598742753045,0.21637967851068923,0.21531856074003652,0.2000521164384421,0.11404901595147583,0.4391980342707034,0.14688589287011194,0.4743191013476581,0.5003237997149946,0.44549593250471997,0.4182176057033586,0.23543099559743616,0.24216181480365565,0.37121834978890794,0.30636412441570243,0.09143620041318429,0.08031533943774377,0.2822411583026118,0.27735174695321463,0.23085749218944573,0.2634885221200347
SHAPE_3_HIGH_blended.obj,0.5631971273488321,0.3026333116018614,0.8763405601619005,0.7021158434695196,0.9322520383810297,0.2415700070947337,0.2445163318414328,0.20341011453188362,0.21553646367905813,0.4553560789036055,0.4603109015610018,0.3344924638479799,0.32980838826943826,0.22155315870651118,0.21556486062692998,0.2040146943175908,0.10481934905469499,0.4431943757452818,0.15782505632344945,0.46031044002634786,0.48435651387072315,0.4253470791533075,0.4026455861772236,0.22840400995823168,0.23459867401586054,0.37701470003303583,0.33187206383484585,0.09285591017269713,0.07890912351559862,0.2630232939361075,0.26886672529898525,0.22465695159954432,0.24926118652730514
SHAPE_3_LOW_blended.obj,0.5818825953263292,0.390344109118376,1.1711367861959026,1.155639382825373,1.2394064214911131,0.32115465931205933,0.32416734792837637,0.24573828326791808,0.26274353366837244,0.5109199357068871,0.5155809872392448,0.3699974798264797,0.36472059503189486,0.23620809684742994,0.23539221644608171,0.2061692609605031,0.08617628260432217,0.4559206423134403,0.1809371187084065,0.46952326429395386,0.48549252792808256,0.4290216324164202,0.40430570073027666,0.2422427442153841,0.24904645372701054,0.4052802366091887,0.4110330701366984,0.1013163661458503,0.08887923299061484,0.2731349253500914,0.27236732691716165,0.22234712668483037,0.2537059080076773
SHAPE_4_HIGH_blended.obj,0.5687658238764925,0.31271904166403186,0.8196780882932776,0.7103293675771329,0.8637326363699638,0.22342135181060663,0.2275260667750198,0.19680665169743866,0.21200872654387945,0.42538750268108594,0.43364697510610967,0.3147931316144886,0.31148112651851534,0.2184931926579076,0.21601763637588198,0.20021064001321215,0.1109497028128061,0.41990767871194024,0.15609216125257538,0.4664582140243112,0.4861772927310058,0.42872820254649674,0.4048146239135266,0.2378789333631711,0.244399664441259,0.3960846123759417,0.30147888004634754,0.0943360763547011,0.08293895432786694,0.2738455341867017,0.273623115452624,0.2286638069787171,0.258945498995445
SHAPE_4_LOW_blended.obj,0.584372407261702,0.39429803021750703,1.2550127265085949,1.2063568732081325,1.4376357514043356,0.3960906156871707,0.39563104480541983,0.26831870386580675,0.28801316444359204,0.6090147793863788,0.6240965392467417,0.41986659616704924,0.41315951419189667,0.25030638471522343,0.24892434019886112,0.20742122316375913,0.08711200904869545,0.47593125494891597,0.1969857137294479,0.4917369783873285,0.5144326429254368,0.43783376942225455,0.41302805930620506,0.24970389827353517,0.2554487731424835,0.40997078750198773,0.483871713955259,0.10355576152489053,0.09071694028129475,0.2818027660634296,0.28408108862963755,0.23066728853047194,0.2589588277352213
SHAPE_8_HIGH_blended.obj,0.568215235892352,0.3457189814056781,1.0493266297426707,0.8947606371953917,1.0031675689643942,0.2630926637701369,0.26713206699961844,0.22052586328770618,0.23827533969334935,0.4502059663917336,0.45262616620170554,0.34087131134185084,0.3305858797167611,0.22849711689747354,0.22571705788546031,0.20093566746660482,0.09436347439157802,0.4274432897312227,0.1710480677024736,0.4697193600036622,0.49056889004144966,0.42268866190170035,0.39805730774412373,0.23550318332243408,0.24318384956448075,0.3828351797131502,0.3466008911514799,0.09682669108257286,0.08476867974670833,0.27269998039237187,0.27403903132583135,0.2224525278480782,0.2538514139826682
SHAPE_8_LOW_blended.obj,0.5773609899326497,0.3325521372761274,0.9348082486792939,0.9053053925244056,1.1546735369805758,0.29277344522832577,0.2917460946520732,0.22872209170269941,0.23995109724051022,0.5138800221967678,0.5205802264620605,0.3742968540915445,0.36656455964100265,0.23393845731128984,0.2264930019418614,0.20496765716936907,0.10507413834407589,0.46014772217571603,0.17274783335327248,0.4811614408200225,0.5103055537518674,0.44439550574460124,0.41816838301693726,0.24480964861091567,0.2519767618610891,0.39451277949516417,0.3991656417691783,0.10037139121283516,0.08389714994563284,0.2816372083798588,0.28308046076866555,0.23548964252807383,0.2635188632584013
SHAPE_9_HIGH_blended.obj,0.5627332745315641,0.33413952086053433,0.9501986657094734,0.8512685096485116,1.0326350288691664,0.2730543478661728,0.27511758296491384,0.21796744146264463,0.23174325234248094,0.4659914989949629,0.470659689848949,0.3479691021684361,0.3428617552422015,0.2267611528083527,0.22003134301012134,0.20488145066049784,0.101491223769595,0.45544156973342914,0.15611918276832606,0.438531573607876,0.457691048102866,0.4080951293534389,0.38621288477017446,0.2268024609147793,0.23329462929308936,0.38400253078072283,0.3565137229574761,0.09671973536460902,0.08166220625234173,0.2447190688074797,0.24689232159182267,0.20522860358877854,0.23415245827878897
SHAPE_9_LOW_blended.obj,0.5788936741289165,0.32719026237424,0.9223525765549517,0.8277867817310817,1.0001632013658321,0.2621950682309755,0.2621734354231486,0.21342683992272848,0.22651597276699414,0.4564808778652971,0.46450772636526577,0.32628993654893806,0.32185801323868746,0.22418756155078146,0.22280078539824283,0.20315041914428822,0.09669509344971958,0.4275488774707519,0.16293476064747509,0.48554852629732087,0.5090304935816714,0.4464616064484156,0.421211603702937,0.24271088101690044,0.24980541495131767,0.39094911798468096,0.34552542075077486,0.09476600298630304,0.08372484256181076,0.29510683812477134,0.29504542751244256,0.2487169052135379,0.2786112170857448
