,JAX,HOU
Points,,
First Downs,19,27
Rush Att,27,22
Rush Yds,94,130
Rush TDs,1,2
Pass Comp,13,27
Pass Att,23,45
Pass Yds,158,292
Pass TD,1,2
Pass INT,1,1
Sacks Taken,5,2
Sacked Yards,39,10
Net Pass Yards,119,282
Total Yards,213,412
Fumbles,2,2
Fumbles Lost,1,1
Turnovers,2,2
Penalties,9,11
Penalty Yds,90,80
3D Conv,4,10
3D Conv Yards,11,15
4D Conv,0,1
4D Conv Yards,0,2
Time of Possession,29:00,31:00
