,DET,WAS
Points,,
First Downs,30,14
Rush Att,33,27
Rush Yds,226,93
Rush TDs,2,1
Pass Comp,25,16
Pass Att,35,22
Pass Yds,320,213
Pass TD,3,2
Pass INT,0,0
Sacks Taken,0,2
Sacked Yards,0,18
Net Pass Yards,320,195
Total Yards,546,288
Fumbles,0,0
Fumbles Lost,0,0
Turnovers,0,0
Penalties,3,8
Penalty Yds,1,61
3D Conv,5,2
3D Conv Yards,10,10
4D Conv,2,3
4D Conv Yards,2,3
Time of Possession,32:36,27:24
