,NYG,CHI
Points,,
First Downs,21,23
Rush Att,30,28
Rush Yds,169,171
Rush TDs,2,2
Pass Comp,22,20
Pass Att,36,36
Pass Yds,287,220
Pass TD,0,1
Pass INT,0,0
Sacks Taken,4,0
Sacked Yards,25,0
Net Pass Yards,262,220
Total Yards,431,391
Fumbles,1,0
Fumbles Lost,1,0
Turnovers,1,0
Penalties,10,3
Penalty Yds,69,25
3D Conv,5,3
3D Conv Yards,14,11
4D Conv,1,1
4D Conv Yards,4,4
Time of Possession,31:18,28:42
