,TAM,HOU
Points,,
First Downs,25,12
Rush Att,30,19
Rush Yds,169,84
Rush TDs,1,1
Pass Comp,25,13
Pass Att,38,24
Pass Yds,215,207
Pass TD,2,1
Pass INT,0,0
Sacks Taken,4,3
Sacked Yards,24,25
Net Pass Yards,191,182
Total Yards,360,266
Fumbles,1,0
Fumbles Lost,0,0
Turnovers,0,0
Penalties,7,6
Penalty Yds,45,45
3D Conv,6,2
3D Conv Yards,14,9
4D Conv,1,0
4D Conv Yards,1,1
Time of Possession,37:09,22:51
