,JAX,CIN
Points,,
First Downs,21,24
Rush Att,27,17
Rush Yds,139,48
Rush TDs,0,1
Pass Comp,24,28
Pass Att,42,45
Pass Yds,271,317
Pass TD,3,3
Pass INT,2,3
Sacks Taken,1,3
Sacked Yards,10,15
Net Pass Yards,261,302
Total Yards,400,350
Fumbles,1,0
Fumbles Lost,0,0
Turnovers,2,3
Penalties,6,3
Penalty Yds,55,29
3D Conv,6,6
3D Conv Yards,13,14
4D Conv,0,1
4D Conv Yards,1,1
Time of Possession,33:11,26:49
