,DEN,TAM
Points,26,7
First Downs,18,17
Rush Att,28,16
Rush Yds,136,91
Rush TDs,2,0
Pass Comp,25,25
Pass Att,36,33
Pass Yds,216,163
Pass TD,0,1
Pass INT,0,1
Sacks Taken,0,7
Sacked Yards,0,31
Net Pass Yards,216,132
Total Yards,352,223
Fumbles,1,1
Fumbles Lost,1,1
Turnovers,1,2
Penalties,5,5
Penalty Yds,51,19
3D Conv,4,3
3D Conv Yards,13,11
4D Conv,2,0
4D Conv Yards,3,2
Time of Possession,32:08,27:52
