,NYJ,TAM
Points,,
First Downs,21,19
Rush Att,23,34
Rush Yds,99,122
Rush TDs,0,0
Pass Comp,26,19
Pass Att,36,29
Pass Yds,197,233
Pass TD,2,1
Pass INT,1,0
Sacks Taken,4,1
Sacked Yards,29,8
Net Pass Yards,168,225
Total Yards,267,347
Fumbles,1,1
Fumbles Lost,1,0
Turnovers,2,0
Penalties,7,14
Penalty Yds,81,124
3D Conv,3,4
3D Conv Yards,11,13
4D Conv,1,0
4D Conv Yards,3,0
Time of Possession,27:49,32:11
