,GNB,CLE
Points,,
First Downs,14,15
Rush Att,31,19
Rush Yds,81,96
Rush TDs,0,1
Pass Comp,18,21
Pass Att,25,36
Pass Yds,183,142
Pass TD,1,0
Pass INT,1,1
Sacks Taken,5,2
Sacked Yards,34,17
Net Pass Yards,149,125
Total Yards,230,221
Fumbles,1,0
Fumbles Lost,0,0
Turnovers,1,1
Penalties,14,8
Penalty Yds,75,90
3D Conv,10,4
3D Conv Yards,18,13
4D Conv,0,1
4D Conv Yards,0,2
Time of Possession,34:14,25:46
